contrast,method,calibration,cal_se,cal_lo,cal_hi,cal_p,top_bottom,tb_se,tb_lo,tb_hi,N,kind,metric,medical_minus_food,lo,hi,bootstrap_p,B
food-cash,t,-0.2388109562892232,0.2257745278197244,-0.6813208994424196,0.203698986863973,0.2901735751286031,-0.0170315125603831,0.0299573808032066,-0.0757479789346681,0.0416849538139018,3634.0,individual,,,,,,
medical-cash,t,0.6040528523503954,0.1907796660928067,0.2301315778259168,0.977974126874874,0.0015442710449164,0.0904467265050054,0.0288391900393757,0.033921914027829,0.1469715389821818,3661.0,individual,,,,,,
food-cash,dr,-0.2591665852961723,0.1957554734606546,-0.6428402630556418,0.1245070924632971,0.185526223611594,-0.0397111418879848,0.0288968829718931,-0.0963490325128954,0.0169267487369256,3634.0,individual,,,,,,
medical-cash,dr,0.3285423137619617,0.1698800413345407,-0.0044164489459139,0.6615010764698372,0.0531172433645431,0.0384687583701933,0.0276149951045172,-0.0156566320346604,0.0925941487750471,3661.0,individual,,,,,,
food-cash,r,-0.2377570353319981,0.1920474924175352,-0.6141632037915962,0.1386491331275999,0.2157117365604198,-0.0455217353896757,0.0285179603379211,-0.1014169376520011,0.0103734668726497,3634.0,individual,,,,,,
medical-cash,r,0.2812027561491413,0.1687640951521651,-0.049568792232593,0.6119743045308756,0.0956641233586958,0.0254226705860556,0.0273567713509204,-0.0281966012617485,0.0790419424338597,3661.0,individual,,,,,,
,t,,,,,,,,,,,difference,calibration,0.8428638086396187,0.3705214629580998,1.3128574800672823,0.0,1500.0
,t,,,,,,,,,,,difference,top_bottom,0.1074782390653885,0.0376053522958147,0.1744252874592101,0.004,1500.0
,dr,,,,,,,,,,,difference,calibration,0.5877088990581341,0.145269821073058,1.00764874581733,0.0093333333333333,1500.0
,dr,,,,,,,,,,,difference,top_bottom,0.0781799002581782,0.0116268875174191,0.1464817106160887,0.0213333333333333,1500.0
,r,,,,,,,,,,,difference,calibration,0.5189597914811395,0.0749970672986667,0.9483766182626984,0.0173333333333333,1500.0
,r,,,,,,,,,,,difference,top_bottom,0.0709444059757313,-0.0018024584190956,0.1429175251965839,0.0546666666666666,1500.0
