sample,variable,specification,se_type,amount,effect_or_wald,se,lo,hi,p,N
R,income_h,primary,HC1,200,-0.2506690693084836,0.0959798843513572,-0.4387861858774634,-0.0625519527395038,0.0090097651774119,5497
R,income_h,primary,HC1,1000,-0.1425867062844008,0.0869710935550272,-0.3130469173483179,0.0278735047795162,0.1011149170280915,5497
R,income_h,primary,HC1,5000,-0.0618299336714159,0.0848017611787026,-0.2280383314072401,0.1043784640644082,0.4659335011706532,5497
R,income_h,primary,HC1,joint,15.204534357256223,,,,0.018724179463606,5497
R,income_h,primary,HC3,200,-0.2506690693084836,0.0966189946414102,-0.4400388190281162,-0.061299319588851,0.0094754035442108,5497
R,income_h,primary,HC3,1000,-0.1425867062844008,0.0874514551243231,-0.3139884087236949,0.0288149961548932,0.1030028472833091,5497
R,income_h,primary,HC3,5000,-0.0618299336714159,0.0853169960341403,-0.2290481731674776,0.1053883058246458,0.4686310128207906,5497
R,income_h,primary,HC3,joint,15.025161335554104,,,,0.0200619166577967,5497
R,income_h,primary,province_cluster,200,-0.2506690693084836,0.1037128712729642,-0.4539425617367324,-0.0473955768802349,0.0156510652589597,5497
R,income_h,primary,province_cluster,1000,-0.1425867062844008,0.0828886909466605,-0.3050455552655268,0.0198721426967251,0.0853926291115495,5497
R,income_h,primary,province_cluster,5000,-0.0618299336714159,0.0858067014035391,-0.2300079780545351,0.1063481107117032,0.4711726909565429,5497
R,income_h,primary,province_cluster,joint,13.70205967831141,,,,0.0331472935533398,5497
R,income_h,primary,city_cluster,200,-0.2506690693084836,0.091351707645232,-0.4297151262193707,-0.0716230123975966,0.0060695571253603,5497
R,income_h,primary,city_cluster,1000,-0.1425867062844008,0.0863036321359669,-0.3117387170058896,0.0265653044370879,0.0985035973927662,5497
R,income_h,primary,city_cluster,5000,-0.0618299336714159,0.080890120924596,-0.220371657388714,0.0967117900458822,0.4446471352322783,5497
R,income_h,primary,city_cluster,joint,15.570391530857224,,,,0.0162553470473955,5497
R,income_h,controls,HC1,200,-0.2606572541629878,0.0954384652409576,-0.4477132087750425,-0.073601299550933,0.0063112755816588,5497
R,income_h,controls,HC1,1000,-0.1388534482052062,0.0863896751408369,-0.3081741001173619,0.0304672037069494,0.1079902916775372,5497
R,income_h,controls,HC1,5000,-0.0383874887416524,0.0822043702541506,-0.1995050938115833,0.1227301163282785,0.6405168686089326,5497
R,income_h,controls,HC1,joint,14.88073554247464,,,,0.0212048850083684,5497
R,income_h,controls,HC3,200,-0.2606572541629878,0.0965219404655304,-0.4498367811933467,-0.0714777271326288,0.0069235867635128,5497
R,income_h,controls,HC3,1000,-0.1388534482052062,0.0871857534139904,-0.3097343848616176,0.032027488451205,0.111246304414252,5497
R,income_h,controls,HC3,5000,-0.0383874887416524,0.0830865596422907,-0.2012341532398815,0.1244591757565767,0.6440683896693038,5497
R,income_h,controls,HC3,joint,14.583112854699865,,,,0.0237591512630275,5497
R,income_h,controls,province_cluster,200,-0.2606572541629878,0.1014468859217975,-0.4594894969134543,-0.0618250114125212,0.0101875875300516,5497
R,income_h,controls,province_cluster,1000,-0.1388534482052062,0.0870452045903362,-0.3094589142291858,0.0317520178187732,0.1106702466307601,5497
R,income_h,controls,province_cluster,5000,-0.0383874887416524,0.0811803168378694,-0.1974979859974269,0.1207230085141221,0.636308106176599,5497
R,income_h,controls,province_cluster,joint,12.589487723715417,,,,0.0500383785101582,5497
R,income_h,controls,city_cluster,200,-0.2606572541629878,0.0905045747899834,-0.4380429611874671,-0.0832715471385084,0.0039761832964566,5497
R,income_h,controls,city_cluster,1000,-0.1388534482052062,0.0854698993241687,-0.3063713726428414,0.0286644762324288,0.1042501876514494,5497
R,income_h,controls,city_cluster,5000,-0.0383874887416524,0.0739397048560097,-0.1833066472869527,0.1065316698036479,0.6036401965818202,5497
R,income_h,controls,city_cluster,joint,15.130412662517967,,,,0.0192662919776336,5497
R,income_h,province_FE,HC1,200,-0.238960787396941,0.0960982851231631,-0.427309965214402,-0.0506116095794799,0.0128959788095763,5497
R,income_h,province_FE,HC1,1000,-0.1374330877804067,0.0874278787482313,-0.3087885813716749,0.0339224058108615,0.1159599355475391,5497
R,income_h,province_FE,HC1,5000,-0.0632180042938495,0.085482469654245,-0.2307605661257078,0.1043245575380087,0.4595770390979308,5497
R,income_h,province_FE,HC1,joint,14.851764946344316,,,,0.0214415189263419,5497
R,income_h,province_FE,HC3,200,-0.238960787396941,0.0969749243928889,-0.4290281466104981,-0.0488934281833838,0.0137338513802088,5497
R,income_h,province_FE,HC3,1000,-0.1374330877804067,0.0881480138762104,-0.310200020286516,0.0353338447257026,0.1189686348088604,5497
R,income_h,province_FE,HC3,5000,-0.0632180042938495,0.0862548634549957,-0.2322744301570614,0.1058384215693622,0.463606589206166,5497
R,income_h,province_FE,HC3,joint,14.603654044736595,,,,0.0235738383907045,5497
R,income_h,province_FE,province_cluster,200,-0.238960787396941,0.1033562376173833,-0.4415352907045762,-0.0363862840893057,0.0207770616156792,5497
R,income_h,province_FE,province_cluster,1000,-0.1374330877804067,0.0844943782062558,-0.3030390259607742,0.0281728503999608,0.1038358328685255,5497
R,income_h,province_FE,province_cluster,5000,-0.0632180042938495,0.0880620959229883,-0.2358165407060182,0.1093805321183191,0.4728313725501902,5497
R,income_h,province_FE,province_cluster,joint,13.447245036059211,,,,0.0364585810498413,5497
R,income_h,province_FE,city_cluster,200,-0.238960787396941,0.0910320517822055,-0.4173803303288491,-0.0605412444650328,0.0086644350625502,5497
R,income_h,province_FE,city_cluster,1000,-0.1374330877804067,0.0877883749225095,-0.3094951408898245,0.0346289653290111,0.117464684980602,5497
R,income_h,province_FE,city_cluster,5000,-0.0632180042938495,0.0825851008741521,-0.225081827666795,0.0986458190790959,0.4439802843259525,5497
R,income_h,province_FE,city_cluster,joint,15.263786940537338,,,,0.0183013390340696,5497
R,income_h,citytier_FE,HC1,200,-0.2560734912164875,0.0959111851477303,-0.444055959820592,-0.068091022612383,0.0075873326545746,5497
R,income_h,citytier_FE,HC1,1000,-0.1416155282999573,0.0869905430373897,-0.3121138596488227,0.028882803048908,0.1035372585298496,5497
R,income_h,citytier_FE,HC1,5000,-0.0607626029071572,0.0847211034894861,-0.2268129144770408,0.1052877086627263,0.4732461299320749,5497
R,income_h,citytier_FE,HC1,joint,15.521020192416843,,,,0.0165693070989221,5497
R,income_h,citytier_FE,HC3,200,-0.2560734912164875,0.0965860328066667,-0.4453786369271584,-0.0667683455058166,0.0080195018723955,5497
R,income_h,citytier_FE,HC3,1000,-0.1416155282999573,0.0875026179895805,-0.3131175081125019,0.0298864515125871,0.1055732436823595,5497
R,income_h,citytier_FE,HC3,5000,-0.0607626029071572,0.0852725439124612,-0.2278937178456915,0.1063685120313771,0.4761122710721585,5497
R,income_h,citytier_FE,HC3,joint,15.326909300941292,,,,0.0178609377772809,5497
R,income_h,citytier_FE,province_cluster,200,-0.2560734912164875,0.1033268334889957,-0.4585903634914863,-0.0535566189414888,0.013201511165511,5497
R,income_h,citytier_FE,province_cluster,1000,-0.1416155282999573,0.0829809106081568,-0.3042551244962824,0.0210240678963676,0.0878957387332408,5497
R,income_h,citytier_FE,province_cluster,5000,-0.0607626029071572,0.0851751176229559,-0.2277027658271138,0.1061775600127993,0.475607903851822,5497
R,income_h,citytier_FE,province_cluster,joint,14.07925100442692,,,,0.0287633065299125,5497
R,income_h,citytier_FE,city_cluster,200,-0.2560734912164875,0.0911988508045183,-0.4348199542247852,-0.0773270282081898,0.0049872096282704,5497
R,income_h,citytier_FE,city_cluster,1000,-0.1416155282999573,0.0865951258367472,-0.311338856176696,0.0281077995767812,0.1019704008958641,5497
R,income_h,citytier_FE,city_cluster,5000,-0.0607626029071572,0.0807166277213399,-0.2189642861945108,0.0974390803801964,0.4515766178253969,5497
R,income_h,citytier_FE,city_cluster,joint,16.021638025570308,,,,0.0136382977547018,5497
R,q43_edu,primary,HC1,200,-0.0824380678136494,0.0907122440915131,-0.2602307991898214,0.0953546635625226,0.3634628048973871,5497
R,q43_edu,primary,HC1,1000,-0.2615219892967513,0.0877167500953544,-0.4334436603245464,-0.0896003182689562,0.0028689880275641,5497
R,q43_edu,primary,HC1,5000,-0.1104649015566688,0.0862305559769832,-0.279473685638421,0.0585438825250834,0.200179168100284,5497
R,q43_edu,primary,HC1,joint,12.641220377170042,,,,0.0491006883225662,5497
R,q43_edu,primary,HC3,200,-0.0824380678136494,0.0911436322961187,-0.2610763045342038,0.0962001689069049,0.3657381709084121,5497
R,q43_edu,primary,HC3,1000,-0.2615219892967513,0.0881125410866867,-0.434219396412963,-0.0888245821805396,0.0029970042512437,5497
R,q43_edu,primary,HC3,5000,-0.1104649015566688,0.0866027730888338,-0.2802032177720777,0.0592734146587401,0.2021198077699474,5497
R,q43_edu,primary,HC3,joint,12.526128717242294,,,,0.0512095761096891,5497
R,q43_edu,primary,province_cluster,200,-0.0824380678136494,0.113443612446695,-0.3047834624852914,0.1399073268579925,0.4674173439839326,5497
R,q43_edu,primary,province_cluster,1000,-0.2615219892967513,0.1075591693146944,-0.4723340873605982,-0.0507098912329044,0.0150395863328798,5497
R,q43_edu,primary,province_cluster,5000,-0.1104649015566688,0.0930190310596549,-0.292778852310405,0.0718490491970674,0.2350101057984333,5497
R,q43_edu,primary,province_cluster,joint,17.82051741977847,,,,0.0066967393091166,5497
R,q43_edu,primary,city_cluster,200,-0.0824380678136494,0.0919242465335532,-0.2626062803253947,0.0977301446980958,0.3698233051734497,5497
R,q43_edu,primary,city_cluster,1000,-0.2615219892967513,0.0960171800212038,-0.4497122040354097,-0.0733317745580928,0.0064555123986652,5497
R,q43_edu,primary,city_cluster,5000,-0.1104649015566688,0.0874323766272008,-0.281829210828724,0.0608994077153864,0.2064338094607495,5497
R,q43_edu,primary,city_cluster,joint,12.162069890451464,,,,0.0584493618512524,5497
R,q43_edu,controls,HC1,200,-0.0872194954904021,0.0895094495651924,-0.2626547929141837,0.0882158019333794,0.3298497195484352,5497
R,q43_edu,controls,HC1,1000,-0.2509189244837784,0.0866178279080776,-0.420686747602699,-0.0811511013648579,0.0037692896321181,5497
R,q43_edu,controls,HC1,5000,-0.095901368327936,0.083770558545397,-0.2600886460417183,0.0682859093858462,0.252287895745418,5497
R,q43_edu,controls,HC1,joint,11.398859019127109,,,,0.0768041922907317,5497
R,q43_edu,controls,HC3,200,-0.0872194954904021,0.0903874839439581,-0.2643757086737525,0.0899367176929482,0.3345693414173168,5497
R,q43_edu,controls,HC3,1000,-0.2509189244837784,0.0873486878023245,-0.4221192066731676,-0.0797186422943892,0.0040709322411027,5497
R,q43_edu,controls,HC3,5000,-0.095901368327936,0.0844985870666403,-0.2615155557230731,0.069712819067201,0.2563977714114476,5497
R,q43_edu,controls,HC3,joint,11.202040016908354,,,,0.0823292803468243,5497
R,q43_edu,controls,province_cluster,200,-0.0872194954904021,0.1158412045000237,-0.3142640842361879,0.1398250932553837,0.4514962469194954,5497
R,q43_edu,controls,province_cluster,1000,-0.2509189244837784,0.1042285482933676,-0.4552031252996726,-0.0466347236678842,0.0160669342385591,5497
R,q43_edu,controls,province_cluster,5000,-0.095901368327936,0.0859186265744332,-0.2642987820149711,0.072496045359099,0.2643415286712137,5497
R,q43_edu,controls,province_cluster,joint,13.607635420663073,,,,0.0343397520465128,5497
R,q43_edu,controls,city_cluster,200,-0.0872194954904021,0.0901062471913821,-0.2638244947675744,0.0893855037867702,0.3330629476470876,5497
R,q43_edu,controls,city_cluster,1000,-0.2509189244837784,0.0937253478495566,-0.4346172307073981,-0.0672206182601587,0.0074246396697649,5497
R,q43_edu,controls,city_cluster,5000,-0.095901368327936,0.0837597020424931,-0.2600673676870286,0.0682646310311565,0.2522264204768438,5497
R,q43_edu,controls,city_cluster,joint,10.864203354291462,,,,0.0926651615686189,5497
R,q43_edu,province_FE,HC1,200,-0.0711265095749532,0.0911677833076202,-0.2498120814082409,0.1075590622583345,0.4352899138649708,5497
R,q43_edu,province_FE,HC1,1000,-0.2709157066706077,0.0883419935025925,-0.4440628322581605,-0.0977685810830548,0.002164579658008,5497
R,q43_edu,province_FE,HC1,5000,-0.1077480037868605,0.0865590038802901,-0.2774005339298919,0.0619045263561708,0.2132080127114627,5497
R,q43_edu,province_FE,HC1,joint,13.15100522184006,,,,0.0406996699837508,5497
R,q43_edu,province_FE,HC3,200,-0.0711265095749532,0.0918278365820398,-0.2511057620539808,0.1088527429040744,0.4385975094700328,5497
R,q43_edu,province_FE,HC3,1000,-0.2709157066706077,0.0890089426074852,-0.4453700284832714,-0.096461384857944,0.0023369513530423,5497
R,q43_edu,province_FE,HC3,5000,-0.1077480037868605,0.0871537593097809,-0.2785662331513037,0.0630702255775826,0.2163478762613132,5497
R,q43_edu,province_FE,HC3,joint,12.952392255764773,,,,0.0437982218618059,5497
R,q43_edu,province_FE,province_cluster,200,-0.0711265095749532,0.1131637838640016,-0.2929234503026713,0.1506704311527649,0.5296586723809595,5497
R,q43_edu,province_FE,province_cluster,1000,-0.2709157066706077,0.1087754855738758,-0.4841117407962605,-0.0577196725449548,0.0127529310800639,5497
R,q43_edu,province_FE,province_cluster,5000,-0.1077480037868605,0.0960078188276432,-0.2959198709232878,0.0804238633495667,0.2617418625500655,5497
R,q43_edu,province_FE,province_cluster,joint,16.88240639922944,,,,0.0097252740209819,5497
R,q43_edu,province_FE,city_cluster,200,-0.0711265095749532,0.0920337415394023,-0.2515093283546497,0.1092563092047433,0.4396225262034295,5497
